type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;mn;v;49730;;0;89;700.0;4;135400;;;0;0;1;0;0;;47.21909;0.00302;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;49235;0000;492350000;Z;49;;;;;;;1521.35
pr;mn;v;49390;;0;83;465.0;4;124275;;;0;0;1;0;0;;47.39994;0.01799;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;49368;0000;493680000;Z;49;;;;;;;1497.29
pr;mn;v;49390;;0;95;440.0;5;140300;;;0;0;1;0;0;;47.39994;0.01799;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;49368;0000;493680000;Z;49;;;;;;;1476.84
pr;mn;v;49390;;0;89;800.0;4;137900;;;0;0;1;0;0;;47.40214;0.09676;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;49369;0000;493690000;Z;49;;;;;;;1549.44
pr;mn;v;49650;;0;83;550.0;4;138500;;;0;0;1;0;0;;47.30001;0.06978;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;49041;0000;490410000;Z;49;;;;;;;1668.67
pr;m;v;49730;49361;0;230;52500.0;9;363965;;;0;0;0;1;VI;;47.23878;0.02397;Non;1.0;;;;Sud;;;;;;False;;;;;;Pompe à chaleur;Individuel;m;n;m;2020-03;49361;0000;493610000;Z;49;;;;;;;1582.46
pr;m;v;49730;49361;0;110;3800.0;5;128990;;;0;0;1;0;F;383;47.24932;0.01224;Non;;;;;0;E;;;;;False;;;;;;;;m;n;m;2020-03;49361;0000;493610000;Z;49;;;;;;;1172.64
pr;m;v;49390;49369;0;80;620.0;5;44990;;;0;0;0;1;NS;;47.38092;0.08276;Non;;;;;0;;;;;;False;;;;;;;;m;n;m;2020-03;49369;0000;493690000;Z;49;;;;;;;562.38
pr;m;v;49390;49369;0;150;3000.0;7;156990;;;0;0;0;0;VI;;47.4147;0.12586;Non;;;;;0;;;;;;False;;;;;;;;m;n;m;2020-03;49369;0000;493690000;Z;49;;;;;;;1046.6
pr;a;v;49390;49369;0;40;;2;20990;;;0;0;1;0;NS;;47.38811;0.09262;Non;;;;;0;;;1.0;;;False;;False;;;;;;m;n;a;2020-03;49369;0000;493690000;Z;49;;;;;;;524.75
pr;mn;v;49390;;0;90;550.0;4;153700;134500.0;19200.0;0;0;1;0;0;;47.39994;0.01799;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;49368;0000;493680000;Z;49;;;;;;;1707.78
pr;m;v;49390;49368;0;149;867.0;5;176783;;;0;0;0;1;E;288;47.39561;0.04728;Non;1.0;;;;0;D;;;;;False;;;;;;;;m;n;m;2020-03;49368;0000;493680000;Z;49;;;;;;;1186.46
pr;m;v;49390;49368;0;105;1300.0;5;89990;;;0;0;0;1;VI;;47.39294;0.01468;Non;;;;;0;;;;;;False;;;;;;;;m;n;m;2020-03;49368;0000;493680000;Z;49;;;;;;;857.05
pr;m;v;49390;49368;0;180;800.0;7;155990;;;0;0;1;1;C;108;47.39011;0.03658;Non;;;;;0;D;;2.0;;;False;;;;;Fioul;;Individuel;m;n;m;2020-03;49368;0000;493680000;Z;49;;;;;;;866.61
pr;mn;v;49390;;0;89;550.0;4;137100;;;0;0;1;0;0;;47.39994;0.01799;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;49368;0000;493680000;Z;49;;;;;;;1540.45
pr;m;v;49390;49221;0;225;5292.0;7;211000;;;0;0;0;1;NS;;47.44999;0.01969;Oui;1.0;;2.0;False;0;NS;2010.0;2.0;;;;;;;;;Sol;;m;n;m;2020-03;49221;0000;492210000;Z;49;;;;;;;937.78
pr;m;v;49650;49002;0;200;1400.0;6;176783;;;0;0;1;1;VI;;47.29175;0.03446;Non;;;6.0;True;0;;;3.0;;;True;;;;;Fioul;;Individuel;m;n;m;2020-03;49002;0000;490020000;Z;49;;;;;;;883.92
pr;mn;v;49650;;0;83;1300.0;4;138900;;;0;0;1;0;0;;47.29944;0.01277;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;49002;0000;490020000;Z;49;;;;;;;1673.49
pr;m;v;49490;49237;0;170;4000.0;8;249600;;;0;0;1;0;C;150.0;47.45542;0.11857;Non;;;;;0;B;;;;;False;;;;;;;;m;n;m;2020-03;49237;0000;492370000;Z;49;;;;;;;1468.24
pr;m;v;49730;49358;0;110;390.0;4;74500;;;0;0;1;0;VI;;47.20803;0.03;Non;;;;;0;;;2.0;;;False;;;;;Fioul;Radiateur;Individuel;m;n;m;2020-03;49358;0000;493580000;Z;49;;;;;;;677.27
pr;mn;v;49730;;0;83;760.0;4;128900;;;0;0;1;0;0;;47.20998;0.02049;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;49358;0000;493580000;Z;49;;;;;;;1553.01
pr;m;v;49590;49140;0;156;1685.0;6;140000;;;0;0;1;1;NS;;47.17548;0.05121;Non;2.0;;0.0;False;0;NS;;;0.0;;;;;0.0;0.0;Électrique;Convecteur;Individuel;a;n;m;2020-03;49140;0000;491400000;Z;49;;;;;;;897.44
pr;m;v;49650;49041;0;120;380.0;1;46990;;;0;0;0;0;NS;;47.30526;0.05509;Non;;;;;0;;;;;;False;;;;;;;;m;n;m;2020-03;49041;0000;490410000;Z;49;;;;;;;391.58
pr;m;v;49650;49041;0;100;400.0;6;104990;;;0;0;2;0;F;406.0;47.31094;0.05895;Non;;;;;0;D;;2.0;;;False;;;;;Électrique;Radiateur;Individuel;m;n;m;2020-03;49041;0000;490410000;Z;49;;;;;;;1049.9
pr;m;v;49650;49041;0;130;1000.0;6;124990;;;0;0;1;1;VI;;47.29798;0.06099;Non;;;;;0;;;;;;False;;;;;;;;m;n;m;2020-03;49041;0000;490410000;Z;49;;;;;;;961.46
pr;m;v;49650;49041;0;290;1400.0;8;280800;;;0;0;0;2;VI;;47.28883;0.07713;Non;;;;;0;;;2.0;;;False;;;;;;;Individuel;m;n;m;2020-03;49041;0000;490410000;Z;49;;;;;;;968.28
pr;m;v;49490;49202;0;103;1420.0;4;133414;;;0;0;0;1;VI;;47.48947;0.14259;Oui;1.0;;;;0;G;;2.0;;;;;;;;Gaz;Radiateur;Individuel;a;n;m;2020-02;49228;0000;492280000;Z;49;;;;;;;1295.28
pr;m;v;49490;49228;0;90;2327.0;5;82000;;;0;0;0;0;E;327.0;47.52779;0.07339;Oui;;;;False;0;C;;;;;False;;;;;Électrique;Radiateur;;m;n;m;2020-02;49228;0000;492280000;Z;49;;;;;;;911.11
pr;m;v;49490;490228;0;160;;7;99792;;;420;0;0;1;D;176;47.51178;0.11519;0;;;;;0;;;;;;;;;;;;;;a;n;m;2020-02;49228;0000;492280000;Z;49;;;;;;;623.7
pr;m;v;49650;49002;0;90;1000.0;4;163000;;;0;0;1;0;D;153.0;47.3093;0.02227;Oui;;;1.0;False;0;C;2008.0;1.0;;;;;;;;Électrique;;;m;n;m;2020-02;49002;0000;490020000;Z;49;;;;;;;1811.11
pr;m;v;49650;49002;0;99;;6;133085;;;0;0;0;1;A;;47.28671;0.01824;0;;;;;0;A;;;;;;;;;;;;;cm;o;m;2020-02;49002;0000;490020000;Z;49;;;;;;;1344.29
pr;m;v;49650;49002;0;96;;5;153085;;;0;0;0;1;A;;47.28671;0.01824;0;;;;;0;A;;;;;;;;;;;;;cm;o;m;2020-02;49002;0000;490020000;Z;49;7.72;1.0;0.058;7.72;1.0;0.058;1594.64
pr;m;v;49650;49002;0;132;;7;181085;;;0;0;0;2;A;;47.28671;0.01824;0;;;;;0;A;;;;;;;;;;;;;cm;o;m;2020-02;49002;0000;490020000;Z;49;;;;;;;1371.86
pr;m;v;49390;49045;0;90;1000.0;4;147500;;;0;0;0;0;VI;;47.33836;0.06458;Oui;1.0;;;False;0;VI;;;;;False;;;;;;;;m;n;m;2020-02;49045;0000;490450000;Z;49;;;;;;;1638.89
pr;m;v;49390;49045;0;102;2996.0;5;173000;;;0;0;1;0;NS;;47.34004;0.05817;Non;1.0;;0.0;False;Sud;NS;2005.0;;1.0;;;;;0.0;0.0;Électrique;Radiateur;Individuel;a;n;m;2020-02;49045;0000;490450000;Z;49;;;;;;;1696.08
pr;m;v;-4939;49114;0;100;1121.0;4;110000;;;0;0;0;0;D;204;47.39059;0.13791;Oui;2.0;;;False;0;A;;;;;False;;;;;;;;m;n;m;2020-02;49114;0000;491140000;Z;49;;;;;;;1100.0
pr;m;v;49590;49140;0;89;;5;146880;;;0;0;0;1;A;;47.19023;0.03197;0;;;;;0;A;;;;;;;;;;;;;cm;o;m;2020-02;49140;0000;491400000;Z;49;;;;;;;1650.34
pr;m;v;49590;49140;0;124;;6;191880;;;0;0;0;1;A;;47.19023;0.03197;0;;;;;0;A;;;;;;;;;;;;;cm;o;m;2020-02;49140;0000;491400000;Z;49;;;;;;;1547.42
pr;m;v;49390;49368;0;100;1121.0;4;110000;;;0;0;0;0;D;204.0;47.39053;0.0581;Oui;2.0;;;False;0;A;;;;;False;;;;;;;;m;n;m;2020-02;49368;0000;493680000;Z;49;;;;;;;1100.0
pr;m;v;49390;49368;0;96;;5;147010;;;0;0;0;1;A;;47.39389;0.04213;0;;;;;0;A;;;;;;;;;;;;;cm;o;m;2020-02;49368;0000;493680000;Z;49;;;;;;;1531.35
pr;m;v;49390;49368;0;90;;5;122010;;;0;0;0;1;A;;47.39389;0.04213;0;;;;;0;A;;;;;;;;;;;;;cm;o;m;2020-02;49368;0000;493680000;Z;49;;;;;;;1355.67
pr;m;v;49490;49150;0;61;355.0;3;39610;;;0;0;1;0;0;;47.597;0.05744;Non;;;2.0;False;0;;;1.0;;;;;;;;Électrique, Bois;Cheminée;Individuel;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;649.34
pr;m;v;49490;49150;0;53;;3;31000;;;0;0;0;0;E;239;47.59718;0.03783;0;;;;;Nord;F;;;;;;;;;;Fioul;;Individuel;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;584.91
pr;m;v;49390;49234;0;73;;3;90000;;;0;0;0;0;0;;47.44258;0.17352;0;;;;;0;;;;;;;;;;;Gaz;;Individuel, Central;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;1232.88
pr;m;v;49490;49150;0;71;170.0;3;43990;;;0;0;1;0;G;527;47.58434;0.04406;Non;;;;True;0;D;;1.0;;;;;;;;Bois;Cheminée;Individuel;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;619.58
pr;m;v;49490;49150;0;69;310.0;3;90614;;;0;0;0;1;D;227.0;47.59286;0.04122;Non;1.0;;;;Sud;B;;1.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;1313.25
pr;m;v;49490;49122;0;70;640.0;4;45000;;;0;0;0;0;0;;47.52554;0.14147;0;;;;;Sud-Ouest;;;;;;;;;;;Électrique;Radiateur;;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;642.86
pr;m;v;49490;49150;0;50;;3;23010;;;0;0;0;0;E;254.0;47.59263;0.04677;Oui;;;1.0;False;0;B;;1.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;460.2
pr;m;v;49490;49098;0;86;3000.0;4;65414;;;0;0;0;1;G;678.0;47.58139;0.1306;Non;;;;True;0;B;1968.0;1.0;;;;;;;;;Radiateur;Individuel;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;760.63
pr;m;v;49490;49098;0;105;356.0;6;81164;;;0;0;0;1;VI;;47.58441;0.09589;Non;2.0;;;;0;G;;1.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;772.99
pr;m;v;49490;49150;0;160;1810.0;7;211000;;;0;0;0;1;D;227;47.60621;0.08106;Non;;;5.0;True;0;B;;2.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;1318.75
pr;m;v;49490;49122;0;200;4901.0;6;149014;;;0;0;1;1;VI;;47.5479;0.14606;Non;1.0;;;;0;G;;2.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;745.07
pr;m;v;49490;49013;0;625;19776.0;14;525000;;;0;0;0;6;A;8.0;47.52574;0.05417;Non;;;6.0;;0;G;;6.0;;;;;;;;;;;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;840.0
pr;m;v;49490;49228;0;320;18832.0;12;435000;;;0;0;0;0;C;146;47.5088;0.11891;Oui;2.0;;;False;0;D;1800.0;;;;False;;;;;;;;m;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;1359.38
pr;m;v;49490;49228;0;97;1105.0;4;60164;;;0;0;1;0;VI;;47.47191;0.08176;Non;;;;;0;G;;1.0;1.0;;;;;;;Fioul;Radiateur;Individuel;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;620.25
pr;m;v;49490;49150;0;100;500.0;4;49000;;;0;0;1;0;NS;;47.58536;0.04743;Non;1.0;;;True;0;NS;1920.0;1.0;;;;;;;;Fioul;;;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;490.0
pr;m;v;49490;49150;0;180;130000.0;6;275000;;;0;0;0;0;NS;;47.59289;0.01595;Non;;;;False;0;NS;1750.0;;;;;;;;;;;;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;1527.78
pr;m;v;49490;49150;0;150;1810.0;7;216614;;;0;0;0;1;D;227;47.60536;0.08164;Non;1.0;;;True;0;B;;2.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-01;49228;0000;492280000;Z;49;;;;;;;1444.09
pr;m;v;49650;49002;0;192;2920.0;10;259500;;;0;0;2;1;C;147;47.32275;0.00434;Non;1.0;;2.0;False;0;C;2001.0;3.0;;;;;;;;;;;m;n;m;2020-01;49002;0000;490020000;Z;49;;;;;;;1351.56
pr;m;v;49650;49002;0;140;3384.0;5;188500;;;0;0;0;0;D;175.0;47.30508;0.03094;Oui;;;;False;0;E;1980.0;;;;False;;;;;;;;m;n;m;2020-01;49002;0000;490020000;Z;49;7.72;1.0;0.069;7.72;1.0;0.069;1346.43
pr;m;v;49650;49002;0;104;140.0;5;120000;;;0;0;0;1;E;266;47.29677;0.01689;Oui;;;;;0;C;1998.0;2.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-01;49002;0000;490020000;Z;49;7.72;1.0;0.08;7.72;1.0;0.08;1153.85
pr;m;v;49650;49002;0;108;3500.0;5;132500;;;0;0;1;0;D;181.0;47.28498;0.02487;Non;1.0;;1.0;;Sud;D;;1.0;;;;;;;;Fioul;;Individuel;m;n;m;2020-01;49002;0000;490020000;Z;49;7.72;1.0;0.076;7.72;1.0;0.076;1226.85
pr;m;v;49650;49002;0;186;1376.0;5;246000;;;0;0;0;1;C;111;47.29466;0.00414;Non;2.0;;0.0;False;Sud;A;2000.0;;0.0;;;;;0.0;0.0;;Sol;Individuel;a;n;m;2020-01;49002;0000;490020000;Z;49;7.72;1.0;0.07;7.72;1.0;0.07;1322.58
pr;m;v;49730;49358;0;240;3225.0;10;368000;;;0;0;0;2;D;221;47.22122;0.01885;Non;;;;True;0;D;;3.0;;;;;;;;Fioul;Radiateur;Individuel;a;n;m;2020-01;49358;0000;493580000;Z;49;;;;;;;1533.33
pr;m;v;49590;49140;0;100;3545.0;4;75000;;;0;0;1;0;E;267;47.19592;0.04248;Oui;2.0;;0.0;False;Sud;F;1800.0;;0.0;;;;;0.0;0.0;Électrique;Radiateur;Individuel;a;n;m;2020-01;49140;0000;491400000;Z;49;5.66;2.0;0.091;5.66;2.0;0.091;750.0
pr;m;v;49590;49140;0;115;118.0;5;60000;;;0;0;0;1;E;297;47.17997;0.04746;Oui;1.0;;;;0;G;;1.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-01;49140;0000;491400000;Z;49;;;;;;;521.74
pr;m;v;49590;49140;0;100;609.0;5;98400;;;0;0;0;1;F;450.0;47.19864;0.05084;Non;;;1.0;True;0;C;;1.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-01;49140;0000;491400000;Z;49;;;;;;;984.0
pr;m;v;49390;49368;0;92;735.0;4;129000;;;0;0;0;1;E;;47.39221;0.05463;Oui;;;;;0;C;1978.0;2.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-01;49368;0000;493680000;Z;49;;;;;;;1402.17
pr;m;v;49390;49368;0;91;1000.0;4;110000;;;0;0;2;0;VI;;47.38368;0.01714;Oui;;;;;0;VI;;2.0;;;;;;;;Électrique;;Individuel;a;n;m;2020-01;49368;0000;493680000;Z;49;;;;;;;1208.79
pr;m;v;49390;49368;0;91;216.0;4;75900;;;0;0;0;0;F;371;47.38576;0.05715;Non;2.0;;;;0;C;;;;;;;;;;;;;a;n;m;2020-01;49368;0000;493680000;Z;49;;;;;;;834.07
pr;m;v;49650;49041;0;100;1000.0;4;65000;;;0;0;0;0;VI;;47.29244;0.05138;Oui;;;;False;0;VI;;;;;;;;;;;;;m;n;m;2020-01;49041;0000;490410000;Z;49;;;;;;;650.0
pr;m;v;49650;49041;0;110;1300.0;5;150000;;;0;0;1;0;D;230;47.31089;0.06132;Non;;;;;0;F;;;;;False;;;;;Fioul;;Individuel;m;n;m;2020-01;49041;0000;490410000;Z;49;;;;;;;1363.64
pr;m;v;49650;49041;0;156;4933.0;8;152000;;;0;0;1;1;NS;;47.31712;0.09284;Non;2.0;;0.0;False;0;NS;;;1.0;;;;;0.0;0.0;Gaz;Convecteur;Individuel;a;n;m;2020-01;49041;0000;490410000;Z;49;;;;;;;974.36
pr;m;v;49390;49221;0;262;;12;157900;;;0;0;0;2;VI;;47.46051;0.00772;Non;;;;;0;VI;;;;;;;;;;Fioul;Radiateur;Individuel;a;n;m;2020-01;49221;0000;492210000;Z;49;;;;;;;602.67
pr;m;v;49390;49221;0;130;3500.0;7;119990;;;0;0;0;0;D;166.0;47.46082;0.0141;Non;;;;;0;D;;;;;False;;;;;;;;m;n;m;2020-01;49221;0000;492210000;Z;49;;;;;;;923.0
pr;m;v;49390;49369;0;103;255.0;6;76000;;;0;0;1;0;D;218;47.38779;0.06958;Non;0.0;;0.0;False;0;E;;;0.0;;;;;0.0;0.0;Électrique;Radiateur;;a;n;m;2020-01;49369;0000;493690000;Z;49;;;;;;;737.86
pr;m;v;49390;49369;0;84;684.0;4;105000;;;0;0;0;1;D;209;47.38318;0.09863;Oui;1.0;;0.0;False;Sud;C;2007.0;;0.0;;;;;0.0;0.0;Électrique;Radiateur;Individuel;a;n;m;2020-01;49369;0000;493690000;Z;49;;;;;;;1250.0
pr;m;v;49390;49369;0;106;2000.0;5;205000;;;0;0;1;0;E;236.0;47.38513;0.08828;Oui;;;2.0;True;0;E;1980.0;1.0;;;;;;;;;;;m;n;m;2020-01;49369;0000;493690000;Z;49;;;;;;;1933.96
pr;m;v;49390;49369;0;85;;5;75000;;;0;0;0;0;E;279;47.38348;0.09958;Oui;;;;;0;A;2006.0;;;;;;;;;Électrique;;Individuel;a;n;m;2020-01;49369;0000;493690000;Z;49;;;;;;;882.35
pr;m;v;49390;49369;0;90;;4;71000;;;0;0;0;0;G;451.0;47.39006;0.08844;0;;;;;Sud;C;;;;;;;;;;Bois;Poêle à Bois;Individuel;a;n;m;2020-01;49369;0000;493690000;Z;49;;;;;;;788.89
pr;m;v;49390;49369;0;90;1001.0;5;163000;;;0;0;0;1;E;314.0;47.38345;0.07908;Non;;;1.0;False;0;C;;1.0;;;;;;;;Électrique;;;m;n;m;2020-01;49369;0000;493690000;Z;49;;;;;;;1811.11
pr;m;v;49730;49361;0;215;2055.0;7;119000;;;0;0;1;1;E;;47.23023;0.03826;Oui;;;;True;Nord-Ouest;E;;3.0;;;;;;;;Gaz;Radiateur;Collectif;a;n;m;2020-01;49361;0000;493610000;Z;49;;;;;;;553.49
pr;m;v;49730;49361;0;214;1509.0;7;148000;;;0;0;0;0;0;;47.23827;0.03814;0;2.0;;;;Sud-Ouest;;;;;;;;;;;Fioul;;Individuel, Central;a;n;m;2020-01;49361;0000;493610000;Z;49;;;;;;;691.59
pr;m;v;49730;49361;0;150;;4;175500;;;0;0;0;0;D;228;47.25586;0.03589;Oui;1.0;;;False;0;A;;;;;False;;;;;Électrique;;;m;n;m;2020-01;49361;0000;493610000;Z;49;;;;;;;1170.0
pr;m;v;49650;490041;0;228;;6;126900;;;532;0;0;1;E;238;47.30198;0.0644;0;;;;;0;;;;;;;;;;;;;;a;n;m;2019-11;49041;0000;490410000;Z;49;;;;;;;556.58
pr;m;v;49390;490369;0;40;;2;24000;;;107;0;0;0;G;465;47.38749;0.0802;0;;;;;0;;;;;;;;;;;;;;a;n;m;2019-10;49369;0000;493690000;Z;49;;;;;;;600.0
pr;m;v;49390;490369;0;100;;4;45000;;;194;1;0;1;F;363;47.3876;0.08023;0;;;;;0;;;;;;;;;;;;;;a;n;m;2019-10;49369;0000;493690000;Z;49;;;;;;;450.0
pr;m;v;49390;490369;0;150;;5;85600;;;362;0;0;1;F;363;47.3876;0.08023;0;;;;;0;;;;;;;;;;;;;;a;n;m;2019-08;49369;0000;493690000;Z;49;;;;;;;570.67
pr;m;v;49650;490041;0;110;;3;126900;;;513;0;0;1;0;0;47.30222;0.06648;0;;;;;0;;;;;;;;;;;;;;a;n;m;2019-06;49041;0000;490410000;Z;49;;;;;;;1153.64
pr;m;v;49730;490361;0;140;;8;159000;;;641;0;0;0;D;228;47.2563;0.03837;0;;;;;0;;;;;;;;;;;;;;a;n;m;2019-05;49361;0000;493610000;Z;49;;;;;;;1135.71
pr;m;v;49650;490041;0;201;;7;229500;;;921;0;1;0;D;159;47.31233;0.06637;0;;;;;0;;;;;;;;;;;;;;a;n;m;2019-05;49041;0000;490410000;Z;49;;;;;;;1141.79
pr;m;v;49650;490041;0;212;;11;198500;;;798;0;1;1;B;72;47.30206;0.06456;0;;;;;0;;;;;;;;;;;;;;a;n;m;2019-04;49041;0000;490410000;Z;49;;;;;;;936.32
